,A1,A2,ttest_p,A2_expr_A1_NE,A2_expr_A1_E,ttest_p_correct,SL,A1_ensembl,A2_ensembl,percent_matched_in_paralog,WGD,any_complex,any_essential,same_complex,same_chr,closest,A1_entrez,A2_entrez
11,GAB1,GAB2,0.00011067763544038721,2.445556875422707,1.2176122074553704,0.0013602879653112456,True,ENSG00000109458,ENSG00000033327,0.36326,WGD,True,False,False,False,True,2549,9846
12,PCNX3,PCNX1,0.050303368371707416,3.5648931361304084,3.7052741925636057,0.21138476406615253,False,ENSG00000197136,ENSG00000100731,0.529007,WGD,False,False,False,False,True,399909,22990
13,CDS2,CDS1,9.338283655616016e-09,2.002463295949262,0.4424955183682848,2.264845062608738e-07,True,ENSG00000101290,ENSG00000163624,0.723596,WGD,True,False,False,False,True,8760,1040
14,SLC4A5,SLC4A4,0.20877713311426685,0.8102421950533796,0.6702441841716096,0.5016718693987469,False,ENSG00000188687,ENSG00000080493,0.5848720000000001,WGD,False,False,False,False,True,57835,8671
15,USP37,USP29,0.6296281203082223,0.0031044768784410136,0.003928808087552226,0.856614473328838,False,ENSG00000135913,ENSG00000131864,0.426966,SSD,False,False,False,False,True,57695,57663
16,VARS2,VARS,0.6271569412258298,6.049962913826285,6.0181593068661465,0.856614473328838,False,ENSG00000137411,ENSG00000204394,0.466606,SSD,False,False,False,True,True,57176,7407
17,H3F3B,H3F3A,0.4539612094810497,8.730304394956468,8.951280307753334,0.7475551489293077,False,ENSG00000132475,ENSG00000163041,1.0,WGD,False,False,False,False,True,3021,3020
18,DNAJB12,DNAJB14,0.12797118395879828,3.5776422346293124,3.4205857467500005,0.3822324854204501,False,ENSG00000148719,ENSG00000164031,0.476773,WGD,False,False,False,False,True,54788,79982
19,FGFR1,FGFR2,0.002867887186787756,2.0807258915148816,0.9956476752563256,0.024263659501241527,True,ENSG00000077782,ENSG00000066468,0.6764359999999999,WGD,True,False,False,False,True,2260,2263
20,FGFR3,FGFR2,0.20713419268048194,2.008931003570129,3.0317548731330834,0.4990425119017174,False,ENSG00000068078,ENSG00000066468,0.64604,WGD,True,False,False,False,True,2261,2263
21,CELF2,CELF1,0.19881230261951824,5.447935735151,5.703250624395555,0.4873848766373365,False,ENSG00000048740,ENSG00000149187,0.777351,WGD,False,False,False,False,True,10659,10658
22,UBAP2L,UBAP2,0.7134888332773544,4.394163540839851,4.446905372180589,0.8994013774993123,False,ENSG00000143569,ENSG00000137073,0.45906199999999997,WGD,True,True,False,False,True,9898,55833
23,EFHC1,EFHC2,0.4056024043007387,0.31207829799946585,0.21866756632865,0.7142214650755505,False,ENSG00000096093,ENSG00000183690,0.35,WGD,False,False,False,False,True,114327,80258
24,GAB2,GAB4,0.6092220894835143,0.011058163802500735,0.0011962741666666664,0.8442314148910194,False,ENSG00000033327,ENSG00000215568,0.390533,SSD,False,False,False,False,True,9846,128954
25,YAP1,WWTR1,0.10096589817537084,4.458337404252539,4.008964072755274,0.3315107739729233,False,ENSG00000137693,ENSG00000018408,0.391732,WGD,True,False,True,False,True,10413,25937
26,FOXO1,FOXO3,0.9891033543043076,3.4388504115672034,3.4356479212721425,0.9940215477787491,False,ENSG00000150907,ENSG00000118689,0.445802,WGD,True,False,False,False,True,2308,2309
27,MORC2,MORC1,0.4847328540742355,0.07681740889859838,0.0015950325530111114,0.7692013054026243,False,ENSG00000133422,ENSG00000114487,0.35465100000000005,SSD,False,False,False,False,True,22880,27136
28,ACOT12,ACOT11,0.8711693495772197,1.7506455663610918,1.7290818852418794,0.9548721409133434,False,ENSG00000172497,ENSG00000162390,0.463063,WGD,False,False,False,False,True,134526,26027
29,TRAF4,TRAF2,0.8291775784013014,4.413042099437648,4.4501199501014295,0.942031782627962,False,ENSG00000076604,ENSG00000127191,0.3,SSD,True,True,False,False,True,9618,7186
30,POGLUT1,KDELC1,0.9772863410731056,3.2159022908981862,3.228954338545,0.9917054424087344,False,ENSG00000163389,ENSG00000134901,0.295918,SSD,False,False,False,False,True,56983,79070
31,SHOC2,LRRC40,0.7195505155451221,3.839019366634564,3.800860908380257,0.9023231546925821,False,ENSG00000108061,ENSG00000066557,0.254296,SSD,False,False,False,False,True,8036,55631
32,ZNF143,ZNF76,0.07293574620888296,4.292467366694933,4.812586296366667,0.26856300071651434,False,ENSG00000166478,ENSG00000065029,0.528213,WGD,True,False,False,False,True,7702,7629
33,UBE2E3,UBE2E2,0.02130683887097021,3.85732901051279,2.8984911274018152,0.11201485522050522,False,ENSG00000170035,ENSG00000182247,0.8550719999999999,SSD,False,False,False,False,True,10477,7325
34,TFAP2C,TFAP2A,0.01856141964163886,3.480652926344793,4.038418306732715,0.10116308490142628,False,ENSG00000087510,ENSG00000137203,0.633333,WGD,True,True,False,False,True,7022,7020
35,TFAP2B,TFAP2A,0.01845462516550644,3.562626318354923,1.8502862834928333,0.1011113348676392,False,ENSG00000008196,ENSG00000137203,0.704348,WGD,True,False,False,True,True,7021,7020
36,GATAD2A,GATAD2B,0.2139695717436396,3.0733252805929183,2.9809789898629586,0.5096719029431798,False,ENSG00000167491,ENSG00000143614,0.3895900000000001,WGD,True,True,False,False,True,54815,57459
37,H3F3A,H3F3B,0.1697497247893368,9.602519817250046,9.464364540546047,0.4518860270322281,False,ENSG00000163041,ENSG00000132475,1.0,WGD,False,False,False,False,True,3020,3021
38,RNF20,RNF40,0.44551408587091534,5.738321415963732,5.699948921136173,0.7434771763295367,False,ENSG00000155827,ENSG00000103549,0.590769,WGD,True,False,True,False,True,56254,9810
39,OPN4,OPN3,0.8738109937287619,3.3809345175042265,3.337072236406249,0.9548721409133434,False,ENSG00000122375,ENSG00000054277,0.202454,WGD,False,False,False,False,True,94233,23596
40,HSD17B11,HSD17B13,0.10166371107392544,0.19543615969399647,0.41911760503393336,0.33320052332156824,False,ENSG00000198189,ENSG00000170509,0.636667,SSD,False,False,False,True,True,51170,345275
41,CPT1A,CPT1B,0.6983084130203627,3.88732917340459,4.03962409514,0.8901352510750103,False,ENSG00000110090,ENSG00000205560,0.6287189999999999,WGD,False,False,False,False,True,1374,1375
42,HSPA14,HSPA6,0.454122286732757,0.6297109853650822,0.5892515069402349,0.7475551489293077,False,ENSG00000187522,ENSG00000173110,0.357564,SSD,False,False,False,False,True,51182,3310
43,ARHGAP9,ARHGAP12,0.6527774616871732,3.7228449751069785,3.798297718236801,0.8659033254287284,False,ENSG00000123329,ENSG00000165322,0.302071,WGD,False,False,False,False,True,64333,94134
44,RAB18,RAB1A,0.0618796485899729,7.240946176341679,7.139809210596439,0.24102586891897365,False,ENSG00000099246,ENSG00000138069,0.387234,SSD,False,False,False,False,True,22931,5861
45,RAB35,RAB1A,0.3868436203452617,7.221547664524974,7.131778563424482,0.6960124089100207,False,ENSG00000111737,ENSG00000138069,0.557214,SSD,False,False,False,False,True,11021,5861
46,RAB1B,RAB1A,0.004346741586944388,7.232000211098042,6.9322139706196415,0.03352762456059045,True,ENSG00000174903,ENSG00000138069,0.935323,WGD,False,False,False,False,True,81876,5861
47,MINDY1,MINDY2,0.4906002426832965,2.557536506254101,2.4859414509166107,0.7704718635570005,False,ENSG00000143409,ENSG00000128923,0.475822,WGD,False,False,False,False,True,55793,54629
48,LMAN2,LMAN2L,0.10432973619174822,4.2684070026782415,4.015078737888421,0.33712266600742874,False,ENSG00000169223,ENSG00000114988,0.525281,WGD,False,False,False,False,True,10960,81562
49,RAB5C,RAB5A,5.582034390411707e-07,4.770443921691707,4.212022586951853,1.0576792245998847e-05,True,ENSG00000108774,ENSG00000144566,0.7550199999999999,WGD,True,True,False,False,True,5878,5868
50,CFL1,CFL2,7.504186831024777e-12,5.565198688381855,4.695288134852995,2.730023169126814e-10,True,ENSG00000172757,ENSG00000165410,0.771084,WGD,True,False,False,False,True,1072,1073
51,TUBG2,TUBG1,0.7134564180969394,6.245844405214666,6.170292943225454,0.8994013774993123,False,ENSG00000037042,ENSG00000131462,0.977827,SSD,True,True,False,True,True,27175,7283
52,OR8I2,OR8H1,0.916776103016702,0.0003679450021350365,0.0,0.9672945077653022,False,ENSG00000172154,ENSG00000181693,0.35483899999999996,SSD,False,False,False,True,True,120586,219469
53,MTCH2,MTCH1,2.4998194697491817e-08,6.980024035804948,6.468937600001914,5.545331238382636e-07,True,ENSG00000109919,ENSG00000137409,0.478548,WGD,False,False,False,False,True,23788,23787
54,BCL6,BCL6B,0.3548491346414081,0.1696455996193629,0.018161449102828568,0.6751784266869469,False,ENSG00000113916,ENSG00000161940,0.362606,WGD,True,True,False,False,True,604,255877
55,SRSF6,SRSF4,0.04211619314501987,6.425410067347598,6.321129883228855,0.18730893723909814,False,ENSG00000124193,ENSG00000116350,0.7093020000000001,WGD,True,True,True,False,True,6431,6429
56,TCF7L2,TCF7L1,0.00027474562079178897,1.935482708744677,1.0113639538299166,0.003104113566585492,True,ENSG00000148737,ENSG00000152284,0.598007,WGD,True,False,False,False,True,6934,83439
57,FMNL1,FMNL2,0.3123196595040904,3.9265657155075626,3.4601255777237503,0.6347591738971402,False,ENSG00000184922,ENSG00000157827,0.5818180000000001,WGD,False,False,False,False,True,752,114793
58,RRAGD,RRAGC,0.7218325467625393,4.148862744110389,4.228375522645998,0.9023231546925821,False,ENSG00000025039,ENSG00000116954,0.7625,WGD,False,False,False,False,True,58528,64121
59,GPR137C,GPR137B,0.747199311486634,2.5743199456480794,2.6525659894821154,0.9135845718747204,False,ENSG00000180998,ENSG00000077585,0.389277,WGD,False,False,False,False,True,283554,7107
60,GPR137,GPR137B,0.07723298170758919,2.6152958721235993,2.2959539067122727,0.2760054886563944,False,ENSG00000173264,ENSG00000077585,0.404211,WGD,False,False,False,False,True,56834,7107
61,OR4D1,OR4D2,0.6932905838265575,0.0015386566063873394,0.0,0.8857692309092572,False,ENSG00000141194,ENSG00000255713,0.7806449999999999,SSD,False,False,False,True,True,26689,124538
62,CBWD1,CBWD2,0.02869163608894572,4.860408734640318,5.110709193940401,0.14182088599400072,False,ENSG00000172785,ENSG00000136682,0.9848100000000001,SSD,False,False,False,False,True,55871,150472
63,SLC19A1,SLC19A3,0.07390893284364689,0.6810945492428128,0.0,0.2696172859376907,False,ENSG00000173638,ENSG00000135917,0.31133700000000003,WGD,False,False,False,False,True,6573,80704
64,BNIP3,BNIP3L,0.6604001044938967,5.14975779985116,5.295590622092222,0.8698492218715504,False,ENSG00000176171,ENSG00000104765,0.451737,WGD,False,False,False,False,True,664,665
65,ATF6B,ATF6,0.6295470073557086,3.738208273145723,3.8114515485650005,0.856614473328838,False,ENSG00000213676,ENSG00000118217,0.308677,WGD,False,False,False,False,True,1388,22926
66,BOD1,BOD1L2,0.6814461498088009,0.002261961792015329,0.004761525,0.8777878302604589,False,ENSG00000145919,ENSG00000228075,0.762162,SSD,True,True,False,False,True,91272,284257
67,PPIL2,PPWD1,0.18963394628184327,4.881663692326526,4.7881816895858345,0.4772632920149391,False,ENSG00000100023,ENSG00000113593,0.26565500000000003,SSD,True,True,True,False,True,23759,23398
68,CCAR1,CCAR2,0.05535202452425457,6.7111880803696105,6.55505766852392,0.22374518357693124,False,ENSG00000060339,ENSG00000158941,0.27304300000000004,SSD,True,True,False,False,True,55749,57805
69,HSD11B1L,HSD11B1,0.765806341445116,0.3918884316799557,0.3531822675638539,0.921833830358768,False,ENSG00000167733,ENSG00000117594,0.3783780000000001,WGD,False,False,False,False,True,374875,3290
70,FAM229A,FAM229B,0.5462763480779536,2.8499419122757894,2.9633247531780924,0.8063682876273662,False,ENSG00000225828,ENSG00000203778,0.244094,SSD,False,False,False,False,True,100128071,619208
71,FLVCR1,FLVCR2,0.03724878783424294,1.1614196829477568,0.5385231958225599,0.17284577824104058,False,ENSG00000162769,ENSG00000119686,0.504505,WGD,False,False,False,False,True,28982,55640
72,ZNF687,ZNF532,0.0064818300579992105,3.837557764931301,3.4273767300632163,0.046973899902392695,True,ENSG00000143373,ENSG00000074657,0.368634,WGD,False,False,False,False,True,57592,55205
73,TAP1,ABCB9,0.6601260672734631,2.5988607203753946,2.4651204140110905,0.8698492218715504,False,ENSG00000168394,ENSG00000150967,0.335396,SSD,True,False,False,False,True,6890,23457
74,CLDN7,CLDN1,0.7908645499553698,3.7075112017911835,3.481323748274909,0.928180820570457,False,ENSG00000181885,ENSG00000163347,0.611374,SSD,True,False,False,False,True,1366,9076
75,CLDN19,CLDN1,0.9449976547129604,3.704608822045466,3.6606016415679,0.9796663245456192,False,ENSG00000164007,ENSG00000163347,0.53125,WGD,True,False,False,False,True,149461,9076
76,LAP3,NPEPL1,0.16098367420180082,3.9049700480709553,3.423369873898333,0.4364073075604705,False,ENSG00000002549,ENSG00000215440,0.231214,SSD,False,False,False,False,True,51056,79716
77,PRLHR,NPY2R,0.6540688120610625,0.08109166461652012,0.004081307456685715,0.8659033254287284,False,ENSG00000119973,ENSG00000185149,0.302703,WGD,False,False,False,False,True,2834,4887
78,RND1,RND3,0.05130737719914055,4.617835039894097,3.82177798954176,0.21284146283099847,False,ENSG00000172602,ENSG00000115963,0.612069,WGD,False,False,False,False,True,27289,390
79,SLC20A1,SLC20A2,2.73693957784367e-06,4.81240518100113,4.256550877967288,4.65279728233424e-05,True,ENSG00000144136,ENSG00000168575,0.589102,SSD,False,False,False,False,True,6574,6575
80,EID2B,EID2,6.036804205476186e-05,3.4666548535569346,4.191163516626154,0.0008015289671358528,False,ENSG00000176401,ENSG00000176396,0.4596270000000001,SSD,False,False,False,True,True,126272,163126
81,ARID3C,ARID3A,0.6613532016758408,3.0821426492907786,2.8880774079928577,0.8698492218715504,False,ENSG00000205143,ENSG00000116017,0.504854,WGD,False,False,False,False,True,138715,1820
82,ARID3B,ARID3A,0.02935091555127705,3.0588689145666077,3.63562853197185,0.14438155700379487,False,ENSG00000179361,ENSG00000116017,0.431373,WGD,False,False,False,False,True,10620,1820
83,CD151,TSPAN11,0.8823701585582359,0.6299651236089686,0.6852981331690222,0.9564955200571384,False,ENSG00000177697,ENSG00000110900,0.5652170000000001,WGD,True,False,False,False,True,977,441631
84,ZFAND5,ZFAND6,0.0548288275334924,6.214051680009126,6.029571393393244,0.22261972607906846,False,ENSG00000107372,ENSG00000086666,0.539906,WGD,False,False,False,False,True,7763,54469
85,MYLK2,MYLK3,0.4041238929309193,0.24885745500944995,0.3423594679468467,0.7123075205826961,False,ENSG00000101306,ENSG00000140795,0.437919,SSD,False,False,False,False,True,85366,91807
86,ZBTB7A,ZBTB7C,0.8965578276719413,0.5863756322119432,0.5980224524483343,0.9621467188998593,False,ENSG00000178951,ENSG00000184828,0.35274,SSD,False,False,False,False,True,51341,201501
87,ZBTB7B,ZBTB7C,0.0016739527567898231,0.573389399734891,1.5837010098258335,0.015073861705944,False,ENSG00000160685,ENSG00000184828,0.343805,SSD,False,False,False,False,True,51043,201501
88,ANKRD11,ANKRD12,0.006727283410638039,2.8644562982258015,2.6869099552384292,0.047689785443937316,True,ENSG00000167522,ENSG00000101745,0.29816,WGD,True,True,False,False,True,29123,23253
89,TBX3,TBX2,0.6777684375585127,1.503510871596763,1.6904833967063275,0.8762336801129599,False,ENSG00000135111,ENSG00000121068,0.567968,WGD,False,False,False,False,True,6926,6909
90,ZFP69B,ZFP69,0.0006913468355416362,1.7176743858023011,2.6465143449495496,0.007145226669603616,False,ENSG00000187801,ENSG00000187815,0.6872659999999999,SSD,False,False,False,True,True,65243,339559
91,SLC13A2,SLC13A5,0.11845014092160035,0.15764164350847948,0.35336750545560003,0.3658078206050783,False,ENSG00000007216,ENSG00000141485,0.48517899999999997,WGD,False,False,False,True,True,9058,284111
92,SHMT2,SHMT1,0.9242987410002674,4.953092765080664,4.9743240003633336,0.9724114574201772,False,ENSG00000182199,ENSG00000176974,0.597222,SSD,True,False,False,False,True,6472,6470
93,SMARCAL1,ZRANB3,0.4538078837094263,2.364504307121331,2.531495205765,0.7475551489293077,False,ENSG00000138375,ENSG00000121988,0.22746300000000005,SSD,False,False,False,True,True,50485,84083
94,GFPT1,GFPT2,1.6745906750722178e-14,2.2551526236170956,0.9473442967896673,7.615201094890911e-13,True,ENSG00000198380,ENSG00000131459,0.7682399999999999,WGD,False,False,False,False,True,2673,9945
95,ELOVL1,ELOVL7,0.01549805835808133,2.207618100878094,1.8531941284603088,0.08921192453591753,True,ENSG00000066322,ENSG00000164181,0.573477,WGD,False,False,False,False,True,64834,79993
96,OR6C6,OR6C70,0.550646622611807,0.025668839090003847,0.0,0.8093687696199492,False,ENSG00000188324,ENSG00000184954,0.7261150000000001,SSD,False,False,False,True,True,283365,390327
97,MYL6B,MYL4,0.3288217552622411,0.40121141134184735,0.13494958421764738,0.6464380509571662,False,ENSG00000196465,ENSG00000198336,0.625,WGD,False,False,False,False,True,140465,4635
98,LRRC10B,LRRC10,0.8550570889863616,0.011464637584353465,0.0051287423797799995,0.9491732029727212,False,ENSG00000204950,ENSG00000198812,0.366438,WGD,False,False,False,False,True,390205,376132
99,LRRC57,LRRC10,0.8559145111213291,0.011373249549194246,0.002392548829516667,0.9493344486156692,False,ENSG00000180979,ENSG00000198812,0.25523,SSD,False,False,False,False,True,255252,376132
100,HES2,HES1,0.011794355339717944,3.901033908396157,2.442131293569489,0.07297255905764266,True,ENSG00000069812,ENSG00000114315,0.39306399999999997,WGD,True,True,False,False,True,54626,3280
101,ARF3,ARF1,0.4802446158555626,8.375332551873484,8.282062748375333,0.7662850493344459,False,ENSG00000134287,ENSG00000143761,0.961326,WGD,True,False,False,False,True,377,375
102,RAB23,RAB7A,0.7727415156857028,7.529822967926661,7.568483014492631,0.9225050056906318,False,ENSG00000112210,ENSG00000075785,0.299578,SSD,False,False,False,False,True,51715,7879
103,LRRC3C,LRRC3,0.5191519652199651,1.0303102635354222,0.8617148349437501,0.7889483864718063,False,ENSG00000204913,ENSG00000160233,0.345455,SSD,False,False,False,False,True,100505591,81543
104,IKBKB,CHUK,0.3534154981532499,3.995486118674822,3.8664946074035287,0.6745674618475987,False,ENSG00000104365,ENSG00000213341,0.506614,WGD,True,True,True,False,True,3551,1147
105,KCNK4,KCNK10,0.3562082957277469,0.15141224168660122,0.20221928669877395,0.6757919240582089,False,ENSG00000182450,ENSG00000100433,0.424936,WGD,False,False,False,False,True,50801,54207
106,HSPA6,HSPA1A,0.7122730902601564,5.474135926690479,5.7162148103615396,0.8994013774993123,False,ENSG00000173110,ENSG00000204389,0.8133750000000001,SSD,True,True,False,False,True,3310,3303
107,HSPA1L,HSPA1A,0.20372244705146214,5.496927718786858,4.548964985419799,0.4937839624190487,False,ENSG00000204390,ENSG00000204389,0.8923559999999999,SSD,True,True,False,True,True,3305,3303
108,TM9SF2,TM9SF4,0.8524789641440095,5.4585514346889665,5.4419439089529416,0.9483424818280622,False,ENSG00000125304,ENSG00000101337,0.429864,SSD,False,False,False,False,True,9375,9777
109,TM9SF3,TM9SF4,0.5628206834349663,5.458712520181956,5.324966066517144,0.8172446752639454,False,ENSG00000077147,ENSG00000101337,0.35314100000000004,SSD,False,False,False,False,True,56889,9777
110,STAG1,STAG2,2.8851422813832115e-14,5.16727412145459,3.979344935193478,1.2800180023990393e-12,True,ENSG00000118007,ENSG00000101972,0.713831,WGD,True,True,True,False,True,10274,10735
111,NUDCD3,NUDC,0.07455607192229709,6.820097870053001,6.723480314217666,0.2696172859376907,False,ENSG00000015676,ENSG00000090273,0.246537,SSD,True,True,False,False,True,23386,10726
112,GPR45,GPR63,0.7473413100327564,0.978505743061418,1.0652970550432084,0.9135845718747204,False,ENSG00000135973,ENSG00000112218,0.5134409999999999,WGD,False,False,False,False,True,11250,81491
113,SHE,SHB,3.407438758819897e-05,3.4971920861914216,2.20817873612916,0.0004804752792475498,True,ENSG00000169291,ENSG00000107338,0.305051,WGD,False,False,False,False,True,126669,6461
114,NPM3,NPM1,0.8717831637455309,11.281570133997755,11.293047923956088,0.9548721409133434,False,ENSG00000107833,ENSG00000181163,0.348315,SSD,True,True,False,False,True,10360,4869
115,ETNPPL,PHYKPL,0.3906960947882676,4.2895261898876385,4.548950212117499,0.6988783468691798,False,ENSG00000164089,ENSG00000175309,0.5771540000000001,WGD,False,False,False,False,True,64850,85007
116,HOXA9,HOXC9,0.04558282776724064,2.020038979632995,0.9874035395162856,0.1978882188749659,False,ENSG00000078399,ENSG00000180806,0.496324,WGD,True,False,False,False,True,3205,3225
117,HOXB9,HOXC9,0.9553509818752964,2.007584238944029,1.9893330312146107,0.982353553437628,False,ENSG00000170689,ENSG00000180806,0.504,WGD,False,False,False,False,True,3219,3225
118,CAPN5,CAPN6,0.5999498761080294,0.348603493431893,0.5712631768213167,0.8420150303506109,False,ENSG00000149260,ENSG00000077274,0.467188,WGD,False,False,False,False,True,726,827
119,PPIP5K2,PPIP5K1,0.1442754394612931,3.8827711507025673,3.5472399334533327,0.4090794174953568,False,ENSG00000145725,ENSG00000168781,0.6408450000000001,WGD,False,False,False,False,True,23262,9677
120,NFE2L1,NFE2L3,0.008955709856038795,4.003589110073634,2.47192812279,0.05818012938619487,True,ENSG00000082641,ENSG00000050344,0.339378,WGD,True,False,False,False,True,4779,9603
121,GRSF1,HNRNPH1,0.7818824848159717,8.9400328465969,8.955309312099175,0.9275747921789244,False,ENSG00000132463,ENSG00000169045,0.329167,WGD,True,True,False,False,True,2926,3187
122,HNRNPH3,HNRNPH1,0.30928471810137154,8.949910222350548,8.700680424498572,0.630368439761197,False,ENSG00000096746,ENSG00000169045,0.6329480000000001,WGD,True,True,False,False,True,3189,3187
123,HNRNPF,HNRNPH1,9.772052785903994e-06,8.971177635506674,8.356325113985907,0.00015456838276138574,True,ENSG00000169813,ENSG00000169045,0.773494,SSD,True,True,True,False,True,3185,3187
124,PTDSS1,PTDSS2,2.9404794957660255e-05,4.317691656392748,4.055414247254092,0.0004245025557776509,True,ENSG00000156471,ENSG00000174915,0.283298,SSD,False,False,False,False,True,9791,81490
125,CDK12,CDK13,0.10879989183501683,4.013816164753068,3.907840825579122,0.3478154714374263,False,ENSG00000167258,ENSG00000065883,0.42349,WGD,True,True,False,False,True,51755,8621
126,SIN3A,SIN3B,0.6764654156894561,4.562464786703507,4.596762914925977,0.8758614730652803,False,ENSG00000169375,ENSG00000127511,0.479183,WGD,True,True,True,False,True,25942,23309
127,BICD2,BICD1,0.8094950579675548,3.9929730926072584,4.0650637140290895,0.9349025463130044,False,ENSG00000185963,ENSG00000151746,0.6,WGD,True,False,False,False,True,23299,636
128,GPX2,GPX1,0.3265093486503494,6.828768617540719,6.548284139076811,0.6448648264874979,False,ENSG00000176153,ENSG00000233276,0.6736840000000001,SSD,True,False,False,False,True,2877,2876
129,HSD3B7,HSD3B2,0.8613015345855621,0.043819102487853784,0.020101295929822224,0.9518271515255999,False,ENSG00000099377,ENSG00000203859,0.379404,WGD,True,True,False,False,True,80270,3284
130,HSD3B1,HSD3B2,0.7267753110462327,0.04428723246090535,0.0013050266342818182,0.9046344451313929,False,ENSG00000203857,ENSG00000203859,0.932976,SSD,True,True,False,True,True,3283,3284
131,IRF8,IRF4,0.8006279952647736,0.78149521751883,0.6241195139682111,0.9342508351777841,False,ENSG00000140968,ENSG00000137265,0.441315,WGD,False,False,False,False,True,3394,3662
132,PPM1J,PPM1H,0.41280754266643627,1.9761158408714616,1.7311820592747054,0.7177477530208478,False,ENSG00000155367,ENSG00000111110,0.546535,WGD,False,False,False,False,True,333926,57460
133,ATG4D,ATG4C,0.13135558745492504,2.8809353200788537,3.108625570089445,0.38836697168030543,False,ENSG00000130734,ENSG00000125703,0.440928,WGD,False,False,False,False,True,84971,84938
134,SMURF1,SMURF2,0.26050650470576225,4.294035347862408,4.001802242543182,0.5771758003164209,False,ENSG00000198742,ENSG00000108854,0.7516510000000001,WGD,True,False,False,False,True,57154,64750
135,TSHB,LHB,0.3592843119180831,0.5355892075000244,0.41430650820089504,0.6761085408290781,False,ENSG00000134200,ENSG00000104826,0.376812,SSD,False,False,False,False,True,7252,3972
136,MAG,SIGLEC10,0.6691866947950995,0.3059502352540127,0.16363928898046667,0.8726989378865161,False,ENSG00000105695,ENSG00000142512,0.242812,SSD,False,False,False,True,True,4099,89790
137,NPM1,NPM2,0.9115323991574884,1.1229941651487412,1.1114339721305655,0.9665330664688356,False,ENSG00000181163,ENSG00000158806,0.244898,SSD,True,True,False,False,True,4869,10361
138,ZEB2,ZEB1,0.6109751245644605,2.3255286284552072,2.2130586871261992,0.8453950665628635,False,ENSG00000169554,ENSG00000148516,0.428336,WGD,True,False,True,False,True,9839,6935
139,CERK,CERKL,0.9329148472035004,1.2843028460493002,1.3177889331528356,0.9777027646911572,False,ENSG00000100422,ENSG00000188452,0.270019,SSD,False,False,False,False,True,64781,375298
140,ARHGEF7,ARHGEF6,6.618214411105246e-24,2.1306645195892617,0.6418924402782681,8.025688009200297e-22,True,ENSG00000102606,ENSG00000129675,0.50934,WGD,True,False,False,False,True,8874,9459
141,CAPS,CAPSL,0.7519454091949651,0.19854022829232515,0.22444923573587094,0.9152886620714582,False,ENSG00000105519,ENSG00000152611,0.367273,WGD,False,False,False,False,True,828,133690
142,KHSRP,FUBP1,0.0002076169452229243,6.652109254535824,6.308412400621389,0.002452306645198048,True,ENSG00000088247,ENSG00000162613,0.5794659999999999,WGD,True,True,False,False,True,8570,8880
143,MANF,CDNF,0.9286318383497236,1.0671170233956144,1.0623322859507018,0.9747151263463054,False,ENSG00000145050,ENSG00000185267,0.5405409999999999,WGD,False,False,False,False,True,7873,441549
